Id,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LanSlope,1stFlrSF,2ndFlrSF,GarageArea,GrLivArea,TotalArea,BedroomAbvGr,Neighborhood,Age,TimeSinceSold,GarageAge,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,MSZoning,MSSubClass,Condition1,Condition2,BldgType,HouseStyle,MasVnrType,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Wd Sdng,Foundation_CBlock,Foundation_PConc,Heating,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType_Attached,GarageType_Detached,GarageType_BuiltIn,GarageFinish_Unf,GarageFinish_RFn,GarageFinish_Fin,GarageCars,PavedDrive,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice
18,1,1,1,1,1,1,1,1296,0,516,1296,13971,2,1,49,9.833333333,49,3,3,0,0,3,3,0,3,3,3,2,1,1,2,3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,6,1,0,0,0,0,0,1,1,2,1,1,1,500,1,1,90000
19,1,1,1,1,1,1,1,1114,0,576,1114,18895,3,2,12,8.166666667,12,3,3,3,3,5,4,0,3,3,3,3,0,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,6,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,159000
20,1,1,1,1,1,1,1,1339,0,294,1339,12660,3,1,51,7.25,58,3,3,3,3,3,3,0,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,6,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,139000
21,1,1,0,1,1,0,1,1158,1218,853,2376,23011,4,4,10,9.75,11,4,3,5,3,5,4,4,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,1,1,9,1,1,0,0,1,1,0,1,3,1,1,0,0,0,0,325300
22,1,1,1,0,1,1,1,1108,0,280,1108,11481,3,1,66,9.166666667,86,3,3,3,3,5,4,4,3,3,2,1,1,1,3,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,6,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,139400
23,1,1,1,1,1,1,1,1795,0,534,1795,18106,3,2,14,7.916666667,14,4,3,4,3,5,4,4,3,3,3,3,1,1,3,3,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,7,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,230000
24,1,1,1,1,1,1,1,1060,0,572,1060,9250,3,0,40,9.166666667,40,3,3,4,3,3,3,3,3,3,2,4,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,6,1,1,1,0,0,0,1,1,2,1,1,0,0,1,1,129900
25,1,1,0,1,1,1,1,1060,0,270,1060,13252,3,1,15,6.25,48,3,4,3,3,5,4,3,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,6,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,154000
26,1,1,1,1,1,0,1,1600,0,890,1600,22258,3,4,9,7.083333333,9,4,3,4,3,5,4,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,7,1,1,1,0,0,1,0,1,3,1,1,0,0,1,1,256300
27,1,1,1,1,1,0,1,900,0,576,900,11690,3,1,16,6.25,11,3,3,3,3,3,4,0,3,3,3,3,1,1,3,3,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,5,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,134800
28,1,1,1,1,1,1,1,1704,0,772,1704,19414,3,4,8,6.25,8,4,3,5,3,5,4,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,1,7,1,1,1,0,0,1,0,1,3,1,1,0,0,1,1,306000
29,1,1,0,1,1,0,1,1600,0,319,1600,23401,2,1,19,9.666666667,59,3,3,3,3,3,3,4,3,3,3,3,1,1,3,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,6,1,2,1,0,0,1,0,1,1,1,1,0,0,1,1,207500
30,1,1,0,1,1,1,1,520,0,240,520,8840,1,1,66,8.25,96,3,3,3,3,2,2,0,2,3,2,1,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,4,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,68500
31,1,1,1,1,1,1,1,649,668,250,1317,12958,3,1,66,8.083333333,96,3,2,3,3,3,3,0,3,2,1,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,6,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,40000
32,1,1,0,1,1,0,1,1228,0,271,1228,13792,3,1,10,8.166666667,50,3,3,3,3,4,4,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,6,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,149350
33,1,1,1,1,1,0,1,1234,0,484,1234,16584,3,2,9,8.583333333,9,4,3,5,3,5,4,0,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,7,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,179900
34,1,1,0,1,1,1,1,1700,0,447,1700,17303,4,1,57,6.333333333,57,3,3,3,3,4,4,4,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,165500
35,1,1,1,1,1,1,1,1561,0,556,1561,14669,2,4,11,9,11,5,3,5,3,5,5,4,3,3,3,4,1,1,3,3,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,2,0,1,6,1,1,1,0,0,1,1,0,2,1,1,0,0,1,1,277500
36,1,1,1,1,1,1,1,1132,1320,691,2452,21632,4,4,11,9.916666667,12,4,3,5,3,5,4,4,3,3,3,4,1,1,3,4,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,1,1,9,1,1,0,0,1,1,1,0,3,1,1,0,0,1,1,309000
37,1,1,1,1,1,0,1,1097,0,672,1097,16487,3,2,21,7.166666667,21,3,3,4,3,5,3,0,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,6,1,0,1,0,0,0,1,1,2,1,1,0,0,1,1,145000
38,1,1,1,1,1,1,1,1297,0,498,1297,14942,3,1,26,6.833333333,62,3,3,3,3,4,3,3,3,3,3,3,1,1,3,3,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,5,1,1,1,0,0,1,1,0,2,1,1,0,0,1,1,153000
39,1,1,1,1,1,1,1,1057,0,246,1057,12516,3,1,9,6.583333333,63,3,4,3,3,3,4,0,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,5,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,109000
40,1,1,1,1,1,1,1,1152,0,0,1152,8409,2,1,61,8.166666667,61,3,3,0,0,3,2,0,0,0,3,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,6,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,82000
41,1,1,1,1,1,1,1,1324,0,440,1324,14245,3,1,51,9.666666667,51,3,3,3,3,5,3,3,3,3,3,3,1,1,3,3,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,0,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,0,160000
42,1,1,1,1,1,1,1,1328,0,308,1328,22788,2,3,57,9.083333333,57,3,4,3,3,4,3,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,5,1,2,1,0,0,1,0,1,1,0,1,0,0,1,1,170000
43,1,1,0,1,1,0,1,884,0,504,884,13372,2,2,33,8.666666667,33,3,3,4,3,4,4,0,3,4,3,2,1,1,3,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,5,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,144000
44,1,1,0,1,1,0,1,938,0,308,938,13405,3,2,36,8.083333333,39,3,3,4,3,3,3,0,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,5,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,130250
45,1,1,1,1,1,1,1,1150,0,300,1150,12915,3,1,57,10.25,57,3,3,3,3,5,3,0,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,6,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,141000
46,1,1,1,1,1,1,1,1752,0,576,1752,15993,2,4,11,6.5,11,5,3,5,3,5,5,4,3,3,3,4,1,1,3,3,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,2,0,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,319900
47,1,1,0,1,1,0,1,1518,631,670,2149,21115,1,1,13,7,13,4,3,5,3,5,4,5,3,3,3,2,1,1,3,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,0,239686
48,1,1,1,1,1,1,1,1656,0,826,1656,18776,3,3,10,9.083333333,10,4,3,4,3,5,4,0,3,3,4,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,7,1,0,1,0,0,1,0,1,3,1,1,0,0,1,1,249700
49,1,1,1,1,1,1,1,736,716,0,1452,8967,2,1,8,7.166666667,96,3,3,3,3,4,3,0,0,0,2,2,1,1,1,4,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,3,8,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,113000
50,1,1,1,1,1,1,1,955,0,386,955,12014,3,1,50,9.583333333,50,3,3,3,3,5,3,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,6,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,127000
51,1,1,0,1,1,0,1,794,676,388,1470,18860,3,2,19,9.083333333,19,3,3,4,3,4,3,0,3,3,3,4,1,1,3,4,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,0,1,6,1,0,1,0,0,1,1,0,2,1,1,0,0,1,1,177000
52,1,1,1,1,1,1,1,816,0,528,1176,10916,3,1,66,9.916666667,31,3,3,3,3,3,3,4,3,3,2,2,1,1,3,2,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,6,1,1,0,1,0,0,1,1,2,1,1,1,400,1,1,114500
53,0,1,0,0,1,0,0,816,0,516,816,12468,2,1,53,6.25,53,2,3,4,3,3,3,0,3,3,2,2,0,1,2,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,5,1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,110000
54,1,1,0,0,1,1,1,1842,0,894,1842,59530,0,3,29,9.75,35,4,3,5,3,4,4,4,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,1,5,1,1,1,0,0,1,1,0,3,1,1,0,0,1,1,385000
55,1,1,1,0,1,1,0,1360,0,572,1360,11304,3,1,61,9.5,54,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,6,0,1,0,1,0,0,1,1,2,1,1,0,0,1,1,130000
56,1,1,0,1,1,1,1,1425,0,576,1425,17230,3,1,52,8.083333333,52,3,3,3,3,4,3,4,3,3,3,3,1,1,3,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,7,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,180500
57,1,1,1,1,1,1,1,983,756,480,1739,9138,3,3,16,7,17,4,3,4,3,5,4,0,3,3,4,3,1,1,2,4,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,2,1,1,7,1,0,1,0,0,1,1,0,2,1,1,0,0,1,0,172500
58,1,1,0,1,1,0,1,860,860,565,1720,17529,3,2,12,10,12,4,3,4,3,5,4,0,3,3,3,4,1,1,3,4,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,7,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,196500
59,1,1,0,0,1,0,1,1426,1519,641,2945,24359,3,4,10,9.833333333,10,5,3,5,3,5,4,4,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,1,1,10,1,1,0,0,1,1,1,0,3,1,1,0,0,0,0,438780
60,1,1,1,0,1,1,1,780,0,352,780,10928,2,2,44,8.583333333,43,3,3,3,3,5,3,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,4,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,124900
61,1,1,1,1,1,1,1,1158,0,576,1158,18393,3,2,12,10.25,10,3,3,4,3,5,4,0,3,3,3,3,0,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,5,1,0,0,1,0,0,1,1,2,1,1,0,0,0,0,158000
62,1,1,1,1,1,1,1,581,530,288,1111,10974,3,1,20,9.416666667,81,3,3,3,2,3,2,0,3,3,2,3,1,1,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,6,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,101000
63,1,1,0,1,1,1,1,1370,0,484,1370,12797,2,4,10,8.833333333,10,4,3,4,4,5,4,4,3,3,3,4,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,202500
64,1,1,0,0,1,1,1,902,808,480,1710,15489,3,1,66,6.333333333,26,3,3,3,3,4,3,0,3,3,2,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,9,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,140000
65,1,1,1,1,1,1,1,1057,977,645,2034,17387,3,2,18,7.5,18,3,3,4,3,5,4,0,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,1,1,8,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,219500
66,1,1,1,1,1,1,1,1143,1330,852,2473,18438,4,4,11,8.833333333,12,4,3,5,3,5,4,4,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,9,1,1,0,0,1,1,0,1,3,1,1,0,0,1,1,317000
67,1,1,1,1,1,1,1,2207,0,576,2207,29372,3,1,27,6.083333333,46,3,3,4,3,3,3,4,3,3,3,3,0,1,3,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,7,0,1,1,0,0,1,0,1,2,1,1,0,0,1,1,180000
68,1,1,0,1,1,1,1,1479,0,558,1479,17499,3,2,13,9.166666667,13,4,3,4,3,5,4,0,3,3,3,3,1,1,3,3,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,1,7,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,226000
69,1,1,1,1,1,0,1,747,0,220,747,7863,2,1,66,6.166666667,71,3,4,3,3,3,3,0,3,3,2,1,0,1,3,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,4,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,80000
70,1,1,1,1,1,0,1,1304,983,667,2287,23658,3,3,63,10.08333333,63,4,3,3,3,3,3,3,3,3,3,2,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,7,1,1,1,0,0,1,1,0,2,1,1,0,0,1,1,225000
71,1,1,0,1,1,1,1,2223,0,516,2223,24569,3,1,43,9.5,43,3,4,4,3,5,3,4,3,3,3,3,1,1,3,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,8,1,2,1,0,0,1,1,0,2,1,1,0,0,1,1,244000
72,1,1,1,1,1,0,1,845,0,360,845,11408,2,1,10,9.166666667,29,3,3,3,3,3,3,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,4,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,129500
73,1,1,0,1,1,0,1,885,833,427,1718,16167,3,2,18,6.666666667,18,3,3,4,3,4,3,3,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,7,1,1,1,0,0,1,1,0,2,1,1,0,0,1,1,185000
74,1,1,1,1,1,1,1,1086,0,490,1086,15223,3,1,13,6.25,27,3,3,3,3,4,3,0,3,3,3,3,1,1,3,3,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,6,1,0,1,0,0,0,1,1,2,1,1,0,0,1,1,144900
75,1,1,1,1,1,0,1,840,765,379,1605,11321,3,1,66,6.25,101,4,4,2,3,4,3,0,3,3,2,2,1,1,3,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,2,8,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,107400
76,1,1,1,1,1,1,1,526,462,297,988,5035,2,0,43,6.75,43,3,3,4,3,3,3,0,3,3,2,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,5,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,91000
77,1,1,0,1,1,1,1,952,0,283,952,12566,2,1,60,8.333333333,60,3,3,3,3,5,3,0,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,4,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,135750
78,1,1,1,1,1,1,1,1072,213,240,1285,12839,2,1,15,8.583333333,68,3,3,3,3,3,3,0,3,3,2,2,1,1,3,2,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,6,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,127000
79,1,1,1,1,1,1,1,1768,0,0,1768,17922,4,1,48,6.333333333,48,3,3,3,3,3,3,0,0,0,3,2,1,1,2,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,2,8,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,136500
80,1,1,1,1,1,0,1,682,548,440,1230,14482,2,1,35,7.25,50,3,3,3,3,4,3,0,3,3,2,2,1,1,3,4,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,5,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,110000
81,1,1,1,1,1,0,1,1182,960,509,2142,20585,4,1,48,7.166666667,48,3,4,4,3,3,4,4,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,1,8,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,193500
82,1,1,1,1,1,0,1,1337,0,405,1337,10727,2,1,18,10.41666667,18,3,4,5,4,5,3,0,3,3,2,4,1,1,3,3,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,1,5,1,0,1,0,0,1,1,0,2,1,1,0,0,1,1,153500
83,1,1,1,1,1,1,1,1563,0,758,1563,18005,3,3,9,7.833333333,9,3,3,4,3,5,4,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,6,1,1,1,0,0,1,0,1,3,1,1,0,0,1,1,245000
84,1,1,0,1,1,1,1,1065,0,461,1065,13833,3,1,56,9.083333333,42,3,3,3,3,4,3,0,3,3,3,3,1,1,3,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,6,1,0,0,1,0,0,1,1,2,1,1,0,0,0,1,126500
85,1,1,0,1,1,1,1,804,670,400,1474,12860,3,2,20,7.25,21,3,3,4,3,4,3,3,3,3,3,3,1,1,3,3,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,1,1,7,1,1,0,0,1,1,1,0,2,1,1,1,700,1,1,168500
86,1,1,1,1,1,0,1,1301,1116,462,2417,24545,4,4,24,10.33333333,25,4,3,4,3,5,4,3,3,3,3,4,1,1,3,4,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,9,1,1,1,0,0,0,1,1,2,1,1,0,0,1,1,260000
87,1,1,0,1,1,1,1,684,876,400,1560,17059,3,2,11,7.416666667,11,4,3,4,3,5,4,4,3,3,3,4,1,1,3,4,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,6,1,1,0,0,1,1,1,0,2,1,1,0,0,1,1,174000
88,1,1,1,1,1,0,1,612,612,528,1224,8501,2,3,7,7.166666667,7,4,3,4,3,5,4,0,3,3,4,3,1,1,3,4,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,1,4,1,0,0,1,0,1,0,1,2,1,1,0,0,0,0,164500
89,1,1,0,1,1,0,1,1013,0,0,1526,13809,2,1,34,6.833333333,101,2,2,3,2,3,2,0,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,6,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,85000
