Id,MSSubClass1,MSSubClass2,MSSubClass3,MSSubClass4,MSSubClass5,MSSubClass6,MSSubClass7,MSSubClass8,MSSubClass9,MSSubClass10,MSSubClass11,MSSubClass12,MSSubClass13,MSSubClass14,MSSubClass15,MSSubClass16,MSZoning1,MSZoning2,MSZoning3,MSZoning4,MSZoning5,MSZoning6,LotFrontage,LotArea,Street1,Street2,LotShape1,LotShape2,LotShape3,LotShape4,Utilities1,Utilities2,Utilities3,LotConfig1,LotConfig2,LotConfig3,LotConfig4,LotConfig5,Neighborhood1,Neighborhood2,Neighborhood3,Neighborhood4,Neighborhood5,Neighborhood6,Neighborhood7,Neighborhood8,Neighborhood9,Neighborhood10,Neighborhood11,Neighborhood12,Neighborhood13,Neighborhood14,Neighborhood15,Neighborhood16,Neighborhood17,Neighborhood18,Neighborhood19,Neighborhood20,Neighborhood21,Neighborhood22,Neighborhood23,Neighborhood24,Neighborhood25,BldgType1,BldgType2,BldgType3,BldgType4,BldgType5,HouseStyle1,HouseStyle2,HouseStyle3,HouseStyle4,HouseStyle5,HouseStyle6,HouseStyle7,HouseStyle8,OverallQual1,OverallQual2,OverallQual3,OverallQual4,OverallQual5,OverallQual6,OverallQual7,OverallQual8,OverallQual9,OverallQual10,OverallCond1,OverallCond2,OverallCond3,OverallCond4,OverallCond5,OverallCond6,OverallCond7,OverallCond8,OverallCond9,TotalAge,RoofStyle1,RoofStyle2,RoofStyle3,RoofStyle4,RoofStyle5,RoofStyle6,RoofMatl1,RoofMatl2,RoofMatl3,RoofMatl4,RoofMatl5,RoofMatl6,RoofMatl7,RoofMatl8,Exterior1st1,Exterior1st2,Exterior1st3,Exterior1st4,Exterior1st5,Exterior1st6,Exterior1st7,Exterior1st8,Exterior1st9,Exterior1st10,Exterior1st11,Exterior1st12,Exterior1st13,Exterior1st14,Exterior1st15,Exterior1st16,Exterior2nd1,Exterior2nd2,Exterior2nd3,Exterior2nd4,Exterior2nd5,Exterior2nd6,Exterior2nd7,Exterior2nd8,Exterior2nd9,Exterior2nd10,Exterior2nd11,Exterior2nd12,Exterior2nd13,Exterior2nd14,Exterior2nd15,Exterior2nd16,Exterior2nd17,MasVnrType1,MasVnrType2,MasVnrType3,MasVnrType4,MasVnrType5,ExterQual1,ExterQual2,ExterQual3,ExterQual4,ExterCond1,ExterCond2,ExterCond3,ExterCond4,ExterCond5,Foundation1,Foundation2,Foundation3,Foundation4,Foundation5,Foundation6,BsmtQual1,BsmtQual2,BsmtQual3,BsmtQual4,BsmtQual5,BsmtExposure1,BsmtExposure2,BsmtExposure3,BsmtExposure4,BsmtExposure5,BsmtFinType11,BsmtFinType12,BsmtFinType13,BsmtFinType14,BsmtFinType15,BsmtFinType16,BsmtFinType17,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC1,HeatingQC2,HeatingQC3,HeatingQC4,HeatingQC5,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual1,KitchenQual2,KitchenQual3,KitchenQual4,TotRmsAbvGrd,Fireplaces,FireplaceQu1,FireplaceQu2,FireplaceQu3,FireplaceQu4,FireplaceQu5,FireplaceQu6,GarageType1,GarageType2,GarageType3,GarageType4,GarageType5,GarageType6,GarageType7,GarageAge,GarageFinish1,GarageFinish2,GarageFinish3,GarageFinish4,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SaleType1,SaleType2,SaleType3,SaleType4,SaleType5,SaleType6,SaleType7,SaleType8,SaleType9,SaleType10,SaleCondition1,SaleCondition2,SaleCondition3,SaleCondition4,SaleCondition5,SaleCondition6,Age,TotalArea,SalePrice
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,11200,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,906,0,134,1040,1,0,0,0,0,1040,0,1040,1,1,0,3,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,51,0,0,0,1,1,384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.5,3504,129500
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,85,11924,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,998,0,177,1175,1,0,0,0,0,1182,1142,2324,1,3,0,4,1,1,0,0,0,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,3,736,147,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.08333333,6559,345000
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12968,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,737,0,175,912,0,0,0,0,1,912,0,912,1,1,0,2,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,54,0,0,0,1,1,352,140,0,0,176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.916666667,3088,144000
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,10652,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1494,1494,1,0,0,0,0,1494,0,1494,0,2,0,3,1,0,0,1,0,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,3,840,160,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,5322,279500
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10920,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,733,0,520,1253,0,0,0,0,1,1253,0,1253,1,1,1,2,1,0,0,0,1,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,56,0,0,1,0,1,352,0,213,176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.25,4111,157000
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,51,6120,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,832,832,1,0,0,0,0,854,0,854,0,1,0,2,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25,0,0,0,1,2,576,48,112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.083333333,3116,132000
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11241,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,578,0,426,1004,1,0,0,0,0,1004,0,1004,1,1,0,2,1,0,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,46,1,0,0,0,2,480,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.416666667,3492,149000
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,10791,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1296,0,1296,0,2,0,2,2,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,49,0,0,0,1,2,516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.833333333,3108,90000
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,13695,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,646,0,468,1114,1,0,0,0,0,1114,0,1114,1,1,1,3,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,0,1,2,576,0,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.166666667,3918,159000
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,7560,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,504,0,525,1029,0,0,0,0,1,1339,0,1339,0,1,0,3,1,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,58,0,0,0,1,1,294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.25,4001,139000
